elo,games,remakes,playing_time,kills,deaths,assists,gold,pentakills,wards,minions,damage,champion_1,champion_2,champion_3
Gold II,5,0,2.3,9,22,64,39.4k,0,89,64,38.3k,Taric,Nami,Thresh
Gold IV,99,1,2.0,235,497,1.2k,850.0k,0,1.9k,5.4k,896.4k,Thresh,Braum,Nautilus
Unranked,43,2,20.9,152,243,350,419.5k,0,455,5.4k,630.5k,Lissandra,Lux,Alistar
Gold III,1,0,27.6,1,7,7,7.3k,0,18,44,9.1k,Morgana,Braum,Nami
Gold I,11,1,5.0,18,31,122,86.6k,0,219,167,58.3k,Janna,Vayne,Ahri
Gold IV,40,2,19.6,233,247,299,446.9k,0,336,6.1k,616.1k,Katarina,Vayne,Annie
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Alistar,Bard,Leona
Gold II,21,0,10.5,133,118,165,251.9k,0,239,3.6k,397.4k,Ezreal,Jhin,Caitlyn
Gold III,15,0,7.0,81,54,91,165.2k,0,169,2.8k,271.9k,Irelia,Gnar,Aatrox
Gold I,3,0,1.7,40,20,33,49.0k,0,39,629,101.2k,Jinx,Lee Sin,Viktor
Gold III,79,2,1.6,499,324,451,938.3k,0,764,14.5k,1.5m,Darius,Dr. Mundo,Master Yi
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Lux,Azir
Gold II,17,0,8.8,139,96,123,193.7k,0,115,2.5k,306.6k,Zed,Ekko,Yasuo
Platinum IV,62,0,1.2,141,485,850,500.3k,0,1.5k,3.0k,533.6k,Nami,Janna,Lee Sin
Gold I,208,5,4.3,1.9k,1.2k,1.3k,2.7m,0,1.6k,37.6k,5.0m,Vayne,Riven,Caitlyn
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Anivia,Katarina
Gold I,44,1,21.9,336,246,347,501.8k,0,378,5.2k,927.5k,Veigar,Ziggs,Zilean
Gold I,28,1,13.0,225,208,196,312.1k,0,310,3.9k,558.2k,Jhin,Yasuo,Shen
Diamond III,29,0,13.8,148,111,224,319.5k,0,334,4.9k,524.5k,Lucian,Jhin,Caitlyn
Gold IV,87,2,1.8,506,509,824,879.6k,0,946,6.7k,1.2m,"VelKoz",Jhin,Orianna
Silver I,185,8,3.8,833,883,1.6k,1.9m,0,1.5k,22.1k,2.5m,Wukong,Janna,Zac
Gold IV,1,0,26.4,8,3,10,13.3k,0,12,196,12.3k,Lucian,Thresh,Ezreal
Gold III,15,0,7.5,105,54,133,191.6k,0,133,3.1k,314.3k,Gangplank,Jinx,Vayne
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Jhin,Ezreal,"KaiSa"
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,Lux,Malzahar,Garen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Miss Fortune,Diana,Shaco
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Braum,Janna
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Zilean,Janna,Nami
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Blitzcrank,Katarina,Master Yi
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Pantheon,Yasuo,Gangplank
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Fizz,Blitzcrank,Morgana
Gold I,36,2,17.5,103,214,348,316.7k,0,667,2.4k,472.9k,Sion,Volibear,Zac
Gold III,3,0,1.1,1,13,29,18.5k,0,45,129,21.6k,Nami,Lulu,Thresh
Gold III,315,7,6.5,1.4k,1.5k,3.0k,3.5m,1,1.8k,45.9k,4.3m,Neeko,Kindred,Sejuani
Gold IV,32,0,15.3,170,212,224,376.2k,1,226,5.8k,654.7k,Teemo,Gangplank,Yasuo
Silver I,19,0,9.7,140,106,133,221.6k,0,141,3.2k,406.0k,Katarina,LeBlanc,Miss Fortune
Gold I,7,0,3.4,38,52,35,74.3k,0,56,1.0k,88.6k,Kindred,Xin Zhao,Talon
Gold III,12,0,5.4,48,42,63,110.8k,0,113,1.8k,146.9k,Ahri,Thresh,Akali
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Bard,Zyra,Lux
Gold IV,1,0,38.5,7,3,9,14.6k,0,11,280,48.8k,Kalista,Twitch,Vayne
Silver I,17,0,8.5,71,97,122,179.5k,0,130,2.2k,194.1k,Udyr,Master Yi,Nasus
Silver I,26,0,14.0,148,149,195,312.9k,0,230,4.7k,411.7k,Renekton,Amumu,Fizz
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Viktor,Dr. Mundo,Kled
Unranked,11,0,4.6,9,41,77,67.0k,0,210,377,56.9k,Janna,Thresh,Alistar
Silver IV,16,1,7.9,112,84,92,198.5k,0,104,3.1k,293.2k,Yasuo,Jhin,Gangplank
Gold III,228,5,4.7,1.5k,974,1.7k,2.7m,0,2.2k,41.2k,4.2m,Ezreal,Xayah,Tristana
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Tahm Kench,Irelia,Darius
Gold IV,19,1,10.0,125,73,245,221.7k,0,288,2.4k,307.1k,Vayne,Ezreal,Caitlyn
Gold IV,286,2,5.9,2.9k,2.2k,2.0k,3.7m,5,2.4k,45.9k,6.8m,Lee Sin,Draven,Yasuo
Unranked,14,0,6.4,116,65,111,174.9k,0,54,2.2k,255.5k,Riven,Jax,Tryndamere
Gold II,15,0,7.4,44,83,109,136.3k,0,189,1.7k,207.1k,Janna,Nami,Gangplank
Gold III,161,3,3.3,1.4k,817,1.0k,1.8m,0,1.2k,22.2k,3.0m,Fizz,Thresh,Master Yi
Gold III,1,0,22.5,5,5,1,8.4k,0,6,141,14.8k,Lux,Jinx,Miss Fortune
Gold IV,8,0,4.2,32,54,61,99.9k,0,66,1.6k,153.7k,Elise,Lee Sin,Gragas
Gold IV,416,8,8.6,2.1k,2.5k,2.9k,4.5m,0,4.5k,63.2k,7.6m,Teemo,Veigar,Garen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Soraka,Fiddlesticks,Morgana
Gold III,39,0,19.7,325,316,336,485.9k,0,347,6.3k,866.1k,Master Yi,Rengar,Varus
Gold I,12,0,5.7,78,53,81,143.0k,0,125,2.3k,190.0k,Vayne,Lucian,Lee Sin
Gold IV,14,0,6.8,66,77,100,151.9k,0,116,2.3k,193.9k,Morgana,Twisted Fate,Nautilus
Unranked,4,0,1.9,22,22,14,41.1k,0,47,666,52.3k,Kled,Heimerdinger,Xerath
Gold III,1,0,23.1,1,3,12,8.0k,0,4,111,7.8k,Shen,Poppy,Rakan
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Darius,Kayle,Morgana
Gold III,16,0,7.6,86,93,109,172.9k,0,129,2.3k,262.9k,Thresh,Shen,Gragas
Gold IV,2,0,55.1,7,16,19,16.1k,0,9,162,13.7k,Ezreal,Gnar,Nautilus
Gold I,41,0,19.6,238,197,352,454.8k,0,361,6.1k,704.8k,Lucian,Caitlyn,Kalista
Unranked,44,0,20.8,275,269,413,493.0k,0,442,6.3k,760.7k,Wukong,Jinx,Master Yi
Gold II,7,0,2.6,16,28,16,54.7k,0,62,956,55.3k,Jinx,Azir,Gnar
Gold I,2,0,1.2,1,11,29,18.9k,0,51,38,20.1k,Malzahar,"VelKoz",Vladimir
Gold I,9,0,4.3,70,35,99,106.3k,0,90,1.2k,128.2k,Zac,Garen,Trundle
Gold IV,81,2,1.7,456,468,622,903.6k,0,1.1k,11.7k,1.1m,Lee Sin,Thresh,Graves
Gold II,156,4,3.1,917,1.1k,1.3k,1.6m,0,1.3k,20.8k,2.4m,"RekSai",Graves,Ekko
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,Jax,Garen,Ezreal
Gold I,42,0,20.0,340,235,476,524.5k,2,432,5.9k,850.2k,Annie,Garen,Vayne
Gold IV,12,0,6.0,51,50,118,125.8k,0,73,1.6k,148.9k,Lucian,Jhin,Ezreal
Gold III,25,0,11.2,114,156,203,250.0k,0,332,2.5k,367.3k,Ezreal,Gragas,Nasus
Gold IV,43,0,20.7,242,225,373,477.1k,0,349,6.6k,734.4k,Lucian,Twitch,Jhin
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Nidalee,Malphite,Karma
Gold II,20,1,10.3,49,125,258,171.1k,0,385,475,222.9k,Rakan,Bard,Alistar
Gold II,25,0,12.4,136,90,219,278.9k,0,354,3.3k,506.9k,Thresh,Morgana,Blitzcrank
Gold I,3,0,1.3,13,18,25,25.9k,0,19,305,32.6k,Gragas,Warwick,Kayn
Gold I,4,0,2.0,13,29,44,35.9k,0,79,237,41.4k,Thresh,Yasuo,Lee Sin
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,Gragas,Kassadin,Ryze
Gold IV,34,0,17.7,258,222,287,399.8k,0,328,4.8k,671.4k,Malzahar,Renekton,Fizz
Gold III,39,0,19.8,160,176,338,401.3k,0,442,5.3k,740.0k,Nami,Rakan,Soraka
Gold III,42,1,20.4,246,251,330,466.4k,0,415,6.1k,723.0k,Diana,Malzahar,Thresh
Gold III,111,2,2.1,659,726,774,1.1m,0,786,15.3k,1.8m,Fizz,Nasus,"KhaZix"
Gold III,27,0,12.4,140,130,215,267.5k,0,220,3.2k,335.1k,Rengar,Shaco,"KhaZix"
Gold III,52,0,23.8,223,254,380,488.2k,0,420,6.1k,644.5k,Blitzcrank,Garen,Lucian
Gold III,2,0,1.0,10,12,16,20.3k,0,47,62,46.2k,"KhaZix",Nasus,Illaoi
Unranked,40,0,18.1,234,174,255,450.7k,0,332,7.1k,585.0k,Lee Sin,Shaco,Caitlyn
Unranked,2,0,47.5,14,3,15,21.6k,0,16,287,24.8k,Trundle,Xin Zhao,Wukong
Gold IV,31,2,14.8,186,194,192,351.1k,0,239,5.3k,488.3k,Master Yi,Jinx,Vayne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Diana,Jax,Caitlyn
Gold III,280,3,5.9,1.7k,1.7k,2.2k,3.1m,0,2.5k,40.3k,4.8m,Morgana,Talon,Sejuani
Gold III,12,2,6.2,75,67,107,141.6k,0,117,2.0k,221.3k,Vayne,Ezreal,Jinx
Unranked,6,0,2.5,27,16,89,54.5k,0,104,248,99.7k,Nami,Sona,Annie
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Janna,Soraka,Nami
Gold III,20,1,9.8,41,89,237,168.7k,0,310,1.2k,183.7k,Skarner,Kayn,Leona
Gold IV,44,2,21.2,100,156,509,403.4k,0,472,4.7k,300.1k,Zac,Singed,Ivern
Gold III,243,0,4.9,1.2k,1.3k,1.8k,2.6m,0,2.2k,37.8k,4.0m,Elise,Renekton,Brand
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Nautilus,Ezreal,Lucian
Gold IV,3,0,1.2,12,17,14,25.0k,0,26,340,29.9k,Thresh,Rakan,"ChoGath"
Gold I,27,1,13.3,173,132,223,318.5k,0,205,4.5k,506.8k,Draven,Ezreal,Jinx
Grandmaster,135,1,2.5,755,536,894,1.5m,0,1.0k,24.3k,2.0m,Ezreal,Lucian,Caitlyn
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Rengar,Lux,Ahri
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,"KhaZix",Udyr,Nasus
Gold III,36,1,18.2,132,220,443,330.6k,0,1.0k,1.3k,633.2k,Lux,Karma,Zyra
Gold IV,33,2,17.1,126,165,469,335.8k,0,942,1.7k,595.0k,Zyra,Morgana,Sona
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Yasuo,Orianna
Gold II,54,1,1.1,287,366,473,571.7k,0,508,7.4k,879.6k,Udyr,Yasuo,Rumble
Silver I,56,0,1.1,397,383,434,661.0k,0,300,9.4k,1.1m,Jinx,Vayne,Lucian
Gold I,46,0,1.0,185,281,643,497.9k,0,408,6.0k,714.4k,Kindred,Riven,Zac
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Soraka,Thresh,Bard
Gold I,3,0,1.4,11,17,29,29.2k,0,26,414,46.9k,Thresh,Lux,Blitzcrank
Silver I,14,0,7.5,98,103,124,166.6k,0,163,1.9k,237.8k,Vayne,Amumu,Renekton
Gold II,8,0,4.3,53,41,62,104.2k,0,111,1.8k,200.3k,Viktor,"KogMaw",Jhin
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Caitlyn,Jinx,Zyra
Gold II,4,0,1.9,12,26,10,41.2k,0,26,770,48.5k,Tryndamere,Teemo,Veigar
Gold III,256,6,5.3,1.7k,1.7k,1.9k,3.0m,1,902,39.3k,3.5m,Hecarim,Warwick,Rammus
Gold III,90,0,1.9,164,484,1.2k,745.3k,0,2.3k,2.2k,771.4k,Thresh,Janna,Zyra
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Lee Sin,Vayne
Gold III,126,0,2.6,787,783,723,1.6m,0,1.1k,24.6k,2.6m,Draven,Zed,Ezreal
Gold IV,1,0,19.9,0,5,1,4.5k,0,8,89,4.4k,Maokai,Jinx,Braum
Gold IV,34,1,17.6,286,196,261,445.4k,0,205,6.1k,796.1k,Jhin,Lucian,Caitlyn
Gold II,30,1,15.5,212,234,304,359.6k,0,243,4.5k,518.7k,Ekko,Ashe,Katarina
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,"VelKoz",Annie,Lux
Gold II,69,0,1.5,295,493,802,723.1k,0,1.2k,7.0k,1.2m,Thresh,Bard,Alistar
Unranked,23,1,11.3,133,129,185,257.7k,0,165,3.8k,391.1k,Shen,Taric,Karma
Gold IV,17,0,8.1,71,101,115,178.0k,0,150,2.6k,269.6k,Vayne,Rengar,Draven
Gold II,1,0,29.5,1,4,3,7.9k,0,12,130,3.7k,Aatrox,Ahri,Akali
Gold II,27,1,12.8,227,149,194,337.8k,0,120,4.9k,510.1k,Aatrox,Ahri,Akali
Gold III,82,1,1.7,514,343,621,904.7k,0,878,13.2k,1.7m,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Master Yi,Jarvan IV,Garen
Unranked,21,0,9.7,99,75,125,224.0k,0,171,3.7k,346.6k,Fiora,Lucian,Ezreal
Unranked,160,3,3.3,746,900,1.3k,1.7m,1,2.4k,21.6k,2.5m,Hecarim,Nocturne,Evelynn
Gold IV,44,0,21.2,373,234,336,523.7k,0,448,6.5k,990.3k,Kennen,Vayne,Zed
Silver I,24,0,11.2,57,154,245,195.8k,0,377,1.3k,262.2k,Shen,Zyra,Sona
Gold II,202,3,4.0,1.3k,1.2k,1.3k,2.3m,0,1.8k,35.1k,4.0m,Zed,Lee Sin,Yasuo
Unranked,50,2,23.3,241,284,294,500.3k,0,299,7.6k,871.7k,Vladimir,"KhaZix",Miss Fortune
Silver I,26,2,11.4,155,102,134,262.6k,0,154,3.9k,353.1k,Yasuo,Twitch,Katarina
Gold III,75,1,1.6,450,383,502,840.5k,0,634,11.1k,1.2m,Karma,Kayle,Camille
Gold IV,29,0,14.2,211,165,296,338.6k,0,205,3.9k,487.1k,Rumble,Poppy,Corki
Gold II,31,0,16.3,254,282,257,388.2k,0,207,5.1k,738.3k,Shaco,Jhin,Brand
Gold II,86,3,1.7,619,319,634,1.1m,0,706,15.7k,1.5m,Lucian,Lee Sin,Jinx
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Brand,Karma,Lux
Unranked,12,0,4.9,64,74,49,104.3k,0,62,1.5k,166.0k,Sona,Vayne,Fizz
Gold II,29,1,13.5,118,202,249,281.8k,0,212,3.5k,412.1k,Ekko,Lee Sin,Ezreal
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Caitlyn,Lucian,Kalista
Gold III,41,1,21.3,332,285,290,522.9k,0,366,7.0k,830.7k,Malzahar,Jax,Vayne
Silver I,50,1,1.0,289,371,393,510.9k,0,448,6.5k,950.0k,Quinn,Pantheon,Garen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Singed,Jax,Ryze
Gold I,12,0,5.5,72,70,105,125.2k,0,80,1.6k,178.9k,LeBlanc,Ezreal,Azir
Silver I,86,1,1.7,409,454,707,827.1k,0,945,9.6k,1.1m,Riven,Nidalee,Rengar
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Garen,Mordekaiser,Heimerdinger
Gold II,17,0,8.7,46,65,206,147.2k,0,339,449,149.9k,Ekko,Lulu,Varus
Silver IV,3,0,1.6,18,24,31,34.6k,0,22,455,74.1k,Jax,Aatrox,Zilean
Gold I,30,1,14.4,205,191,105,359.9k,1,275,5.6k,637.4k,Jax,Rengar,Yasuo
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Anivia,Nami,Miss Fortune
Gold IV,156,2,3.2,382,980,1.8k,1.4m,0,2.4k,10.6k,1.4m,Wukong,Leona,Aatrox
Unranked,15,0,7.4,48,104,159,139.1k,0,248,1.3k,202.7k,Thresh,Morgana,Vladimir
Gold I,36,1,17.1,231,171,282,409.5k,0,249,6.1k,612.2k,Lux,Vi,Jinx
Unranked,33,0,16.0,197,192,290,377.2k,0,121,4.9k,512.4k,Alistar,Thresh,Jhin
Gold III,1,0,35.0,14,8,8,15.8k,0,14,174,28.5k,Vayne,Twisted Fate,Jinx
Gold II,31,0,15.4,231,183,150,363.9k,0,242,5.2k,607.7k,Katarina,Vayne,Ahri
Gold II,7,0,4.0,73,30,54,99.2k,0,98,1.2k,216.6k,LeBlanc,Zoe,Karma
Gold I,25,0,12.2,62,138,369,216.4k,0,525,469,257.1k,Janna,Ezreal,Udyr
Gold II,10,0,4.9,35,60,122,83.9k,0,284,375,82.8k,Morgana,Thresh,Brand
Gold III,169,1,3.5,805,1.1k,1.6k,1.8m,0,1.9k,21.2k,2.6m,Thresh,Gangplank,Renekton
Gold IV,27,3,14.0,189,153,215,316.6k,0,329,4.0k,469.6k,Darius,Fizz,Thresh
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Gold I,9,0,4.5,47,37,56,104.5k,0,83,1.7k,162.8k,Irelia,Fiora,Gangplank
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Veigar,Kindred
Unranked,1,0,38.4,4,7,13,12.9k,0,13,235,22.0k,Ezreal,Alistar,Leona
Gold II,2,1,55.9,3,11,25,15.1k,0,59,38,13.8k,Janna,Yorick,Lulu
Gold IV,30,0,14.4,168,173,197,341.9k,0,252,5.4k,549.1k,Ezreal,"KaiSa",Ryze
Gold III,12,0,5.9,75,73,70,133.5k,0,96,1.7k,149.8k,Sejuani,Amumu,Darius
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Lucian,"KaiSa",Vladimir
Platinum III,34,1,17.1,264,179,289,418.1k,1,250,5.5k,589.6k,Kalista,Jinx,Caitlyn
Gold IV,2,0,1.2,9,15,22,20.3k,0,54,73,27.3k,Jhin,Wukong,Lucian
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,LeBlanc,Viktor,Anivia
Gold IV,1,0,24.7,1,4,1,7.6k,0,8,140,10.8k,Vayne,Jhin,Varus
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Thresh,"KhaZix"
Gold III,138,3,2.8,627,884,1.1k,1.4m,0,1.4k,15.6k,1.4m,Blitzcrank,Brand,Taric
Unranked,4,0,2.2,26,26,35,50.9k,0,37,716,102.5k,Rammus,Katarina,Miss Fortune
Unranked,11,0,4.9,61,66,56,113.7k,1,94,1.5k,148.5k,Jax,Darius,Ashe
Gold III,2,0,50.4,8,6,18,17.0k,0,40,80,12.2k,Draven,Lucian,Sivir
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Diana,Master Yi,Sivir
Gold IV,103,1,2.2,341,406,1.2k,990.4k,0,2.0k,7.4k,1.1m,Rengar,Jinx,Kayn
Gold II,2,0,49.1,4,13,12,14.1k,0,16,192,14.2k,Fiddlesticks,Maokai,Lissandra
Gold III,46,1,23.2,365,354,322,605.9k,1,370,8.5k,975.1k,Draven,Lucian,Ezreal
Gold IV,203,7,4.2,1.4k,1.3k,1.6k,2.4m,0,2.1k,32.9k,3.5m,Shyvana,Evelynn,Rammus
Gold IV,81,1,1.7,341,301,615,882.6k,0,903,13.3k,1.3m,Gnar,Tristana,Diana
Silver I,1,0,35.3,9,4,9,14.4k,0,11,193,26.6k,Vi,Trundle,"ChoGath"
Gold II,54,0,1.1,399,300,457,617.6k,0,438,7.0k,876.2k,"RekSai",Gragas,Elise
Unranked,1,0,33.6,2,4,3,10.9k,0,11,181,14.5k,Pantheon,Shen,Quinn
Gold I,28,0,13.2,208,108,186,329.0k,0,242,4.8k,493.3k,Riven,Lee Sin,Draven
Gold IV,15,0,7.5,169,84,86,211.8k,0,147,2.7k,331.7k,Warwick,Lucian,Master Yi
Gold II,13,0,6.8,92,61,122,159.7k,0,158,1.8k,252.6k,Lucian,Twitch,Jhin
Gold II,3,0,1.6,7,10,19,30.9k,0,46,503,44.9k,Kassadin,Kayle,Twisted Fate
Gold IV,9,0,4.3,25,41,67,86.4k,0,116,1.2k,106.9k,Jinx,Akali,Ezreal
Gold IV,100,0,2.1,510,705,722,1.2m,0,1.1k,17.0k,1.8m,Zed,Vayne,Karthus
Unranked,6,0,2.8,35,29,30,62.0k,0,38,763,85.0k,Jhin,Yasuo,Tryndamere
Gold IV,99,3,2.0,674,544,784,1.1m,0,748,15.5k,1.8m,Jhin,"KogMaw",Lucian
Gold I,58,0,1.2,451,294,488,723.9k,1,612,10.5k,1.2m,Tristana,Vayne,Lucian
Gold I,104,4,2.0,329,569,882,903.0k,0,1.4k,9.2k,1.1m,Janna,Diana,Rumble
Unranked,75,1,1.5,510,379,488,833.0k,1,520,10.9k,1.3m,Wukong,Blitzcrank,Vayne
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Ekko,Yasuo,Lee Sin
Silver I,13,0,6.3,78,71,67,140.6k,0,101,1.9k,163.3k,Poppy,Udyr,Shen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Caitlyn,Quinn,Lissandra
Gold III,125,3,2.5,805,534,937,1.5m,0,1.3k,19.3k,2.3m,Ezreal,Ahri,Lucian
Gold III,21,0,9.9,84,132,179,214.4k,0,253,2.9k,257.6k,Brand,Caitlyn,Nautilus
Silver I,1,0,29.1,2,5,4,10.0k,0,10,213,12.8k,Caitlyn,Miss Fortune,Ahri
Gold I,28,0,13.0,223,206,150,334.3k,1,205,4.6k,562.8k,Darius,Shen,Malphite
Gold III,109,3,2.1,778,737,765,1.3m,0,1.1k,15.8k,2.0m,Zed,Gangplank,Nocturne
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,LeBlanc,Shaco
Gold IV,53,1,1.0,203,227,544,493.3k,0,811,5.0k,679.9k,Zilean,Malphite,Tahm Kench
Unranked,3,0,1.5,19,21,31,34.9k,0,31,446,52.3k,Master Yi,Nidalee,Ekko
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Janna,Miss Fortune,Katarina
Unranked,1,0,27.3,1,8,3,6.9k,0,8,123,10.3k,Draven,Teemo,Jinx
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Fiora,Master Yi,Ezreal
Silver I,1,0,19.8,0,3,4,6.3k,0,5,119,6.8k,Lux,Leona,Caitlyn
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Lux,Shaco,Rammus
Gold I,40,2,19.5,228,219,313,437.6k,0,482,5.6k,598.2k,Pantheon,Lucian,Tryndamere
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Teemo,Illaoi,Ekko
Gold I,6,0,2.8,43,33,27,65.5k,0,37,1.0k,104.5k,Gragas,Gangplank,Vladimir
Unranked,13,1,6.5,51,76,83,140.6k,0,94,2.4k,211.7k,Jhin,Caitlyn,Yasuo
Unranked,34,0,16.1,199,177,270,368.9k,0,359,4.5k,564.6k,Fizz,Vayne,Nami
Gold II,72,2,1.5,464,285,549,882.0k,0,678,14.1k,1.4m,Twisted Fate,Ezreal,Lucian
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Miss Fortune,Vayne,Jinx
Gold I,3,0,1.3,20,21,21,31.4k,0,24,310,42.7k,Vi,Udyr,Aatrox
Unranked,12,1,5.9,72,73,194,133.1k,0,106,1.2k,179.0k,"KhaZix",Jarvan IV,Sejuani
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Riven,Lee Sin,Master Yi
Gold IV,5,0,2.2,36,17,30,57.1k,0,33,922,85.4k,Ezreal,Jinx,Lucian
Gold II,28,1,12.7,94,143,228,267.5k,0,387,3.8k,332.1k,Ezreal,Lucian,Ahri
Unranked,4,0,1.9,15,21,24,37.0k,0,46,549,49.1k,Riven,Thresh,Lucian
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,"VelKoz",Ezreal,Vayne
Gold II,7,0,3.4,45,32,68,87.7k,0,59,1.3k,123.6k,Thresh,Dr. Mundo,Quinn
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Tahm Kench,Pantheon,Thresh
Gold II,4,1,2.2,23,20,46,52.0k,0,43,835,88.5k,Thresh,Jhin,Ezreal
Gold II,23,0,11.2,176,193,225,273.1k,1,173,3.2k,548.4k,Ahri,Akali,Vayne
Gold II,8,0,3.3,16,36,58,51.7k,0,152,245,43.7k,Leona,Braum,Nami
Unranked,44,2,22.2,159,225,429,409.7k,0,682,3.0k,607.6k,Nami,Miss Fortune,Lux
Gold I,31,0,15.8,182,228,258,378.8k,0,336,5.5k,734.8k,Zilean,Xerath,Heimerdinger
Gold III,80,0,1.7,340,399,756,818.3k,0,760,10.5k,852.0k,Evelynn,Nocturne,Shen
Gold III,230,5,4.8,1.7k,1.0k,1.6k,2.6m,1,2.1k,31.1k,4.3m,Garen,Jax,Gangplank
Unranked,109,2,2.3,493,514,1.1k,1.1m,0,1.4k,9.4k,1.7m,Jhin,Ezreal,Tryndamere
Silver III,71,3,1.4,466,448,443,752.6k,1,589,8.7k,918.7k,Master Yi,Wukong,Soraka
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Blitzcrank,Tristana,Volibear
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Shen,Jax,Volibear
Unranked,54,2,1.1,325,337,391,624.8k,0,442,9.3k,1.2m,Ezreal,Corki,Caitlyn
Gold III,2,0,43.9,1,8,4,13.1k,0,12,271,15.3k,Ahri,Yasuo,Caitlyn
Gold IV,251,2,5.2,1.3k,1.8k,1.9k,2.7m,0,3.3k,31.9k,4.4m,Irelia,Lux,Brand
Gold II,32,1,15.9,155,182,374,328.3k,0,440,3.0k,515.9k,Jhin,Ezreal,Lee Sin
Gold I,9,0,4.3,65,57,35,111.0k,0,79,1.5k,164.8k,Nocturne,Urgot,Kayn
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,"KaiSa",Ezreal,Miss Fortune
Unranked,10,0,4.8,87,31,76,114.9k,0,89,1.5k,189.6k,Vayne,Gragas,"KogMaw"
Gold II,10,0,5.2,71,48,95,118.3k,0,83,1.5k,162.0k,Ezreal,Amumu,Sejuani
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Zilean,Janna,Brand
Gold II,13,0,6.8,86,81,112,157.9k,0,169,2.3k,305.2k,Veigar,Shen,Lux
Gold III,19,0,9.2,100,154,136,196.5k,0,148,2.4k,300.6k,Caitlyn,Sivir,Ivern
Gold III,17,0,8.4,105,93,144,191.6k,0,219,1.9k,291.2k,Jax,Ezreal,Skarner
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Lux,Darius
Gold III,39,1,18.8,187,229,369,394.6k,0,569,4.8k,529.6k,Warwick,Zac,"VelKoz"
Platinum IV,44,0,21.9,159,258,504,385.2k,0,752,1.1k,673.7k,Galio,Sona,Corki
Gold II,36,3,17.4,175,188,289,388.2k,0,438,4.9k,658.2k,Shyvana,Sejuani,Sona
